Sensor,Date,Track,Frame,Location,Heading,Polarization,Centre Lat,Centre Lon,Look Angle,RSR
PALSAR,20061230,381,640.00,"UNKNOWN",A,HH,-38.747879,146.391816,34.3,32
PALSAR,20070214,381,640.00,"UNKNOWN",A,HH,-38.749965,146.40012,34.3,32
PALSAR,20070702,381,640.00,"UNKNOWN",A,HH,-38.752988,146.387395,34.3,16
PALSAR,20070817,381,640.00,"UNKNOWN",A,HH,-38.752321,146.390812,34.3,16
PALSAR,20071002,381,640.00,"UNKNOWN",A,HH,-38.754478,146.382382,34.3,16
PALSAR,20071117,381,640.00,"UNKNOWN",A,HH,-38.755307,146.378091,34.3,32
PALSAR,20080102,381,640.00,"UNKNOWN",A,HH,-38.756671,146.372119,34.3,32
PALSAR,20080217,381,640.00,"UNKNOWN",A,HH,-38.758075,146.371872,34.3,32
PALSAR,20080519,381,640.00,"UNKNOWN",A,HH,-38.75817,146.370299,34.3,16
PALSAR,20080704,381,640.00,"UNKNOWN",A,HH,-38.749692,146.400501,34.3,16
PALSAR,20080819,381,640.00,"UNKNOWN",A,HH,-38.741365,146.424074,34.3,16
PALSAR,20081004,381,640.00,"UNKNOWN",A,HH,-38.742775,146.424689,34.3,16
PALSAR,20081119,381,640.00,"UNKNOWN",A,HH,-38.742002,146.429319,34.3,32
PALSAR,20090104,381,640.00,"UNKNOWN",A,HH,-38.744605,146.417978,34.3,32
PALSAR,20090219,381,640.00,"UNKNOWN",A,HH,-38.746707,146.410546,34.3,32
PALSAR,20090707,381,640.00,"UNKNOWN",A,HH,-38.74726,146.396144,34.3,16
PALSAR,20090822,381,640.00,"UNKNOWN",A,HH,-38.74937,146.40388,34.3,16
PALSAR,20091007,381,640.00,"UNKNOWN",A,HH,-38.750747,146.396257,34.3,16
PALSAR,20091122,381,640.00,"UNKNOWN",A,HH,-38.749482,146.401634,34.3,32
PALSAR,20100107,381,640.00,"UNKNOWN",A,HH,-38.752953,146.386261,34.3,32
PALSAR,20100222,381,640.00,"UNKNOWN",A,HH,-38.754392,146.384165,34.3,32
PALSAR,20100525,381,640.00,"UNKNOWN",A,HH,-38.754271,146.38206,34.3,16
PALSAR,20100825,381,640.00,"UNKNOWN",A,HH,-38.756898,146.3737,34.3,16
PALSAR,20110110,381,640.00,"UNKNOWN",A,HH,-38.761354,146.354224,34.3,32
PALSAR,20110225,381,640.00,"UNKNOWN",A,HH,-38.76269,146.352828,34.3,32
