Sensor,Btemp,Bperp,Mst Date,Slv Date,Track,Mst Frame,Slv Frame,Centre Lat,Centre Lon,Look Angle,Heading,Polarization,Results
PALSAR,46,681.48,20061230,"20070214",381,641.00,641.00,-38.261715,146.204297,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20061230_20070214_HH_x38.26172_146.20430_x38.26360_146.21265.jpg"
PALSAR,184,-370.01,20061230,"20070702",381,641.00,641.00,-38.261715,146.204297,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20061230_20070702_HH_x38.26172_146.20430_x38.26660_146.20011.jpg"
PALSAR,230,-404.2,20061230,"20070817",381,641.00,641.00,-38.261715,146.204297,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20061230_20070817_HH_x38.26172_146.20430_x38.26607_146.20358.jpg"
PALSAR,46,-34.24,20070702,"20070817",381,641.00,641.00,-38.266603,146.200108,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20070702_20070817_HH_x38.26660_146.20011_x38.26607_146.20358.jpg"
PALSAR,92,-608.17,20070702,"20071002",381,641.00,641.00,-38.266603,146.200108,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20070702_20071002_HH_x38.26660_146.20011_x38.26825_146.19527.jpg"
PALSAR,46,-580.24,20070817,"20071002",381,641.00,641.00,-38.266073,146.203581,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20070817_20071002_HH_x38.26607_146.20358_x38.26825_146.19527.jpg"
PALSAR,138,-815.13,20070702,"20071117",381,641.00,641.00,-38.266603,146.200108,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20070702_20071117_HH_x38.26660_146.20011_x38.26886_146.19093.jpg"
PALSAR,92,-787.61,20070817,"20071117",381,641.00,641.00,-38.266073,146.203581,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20070817_20071117_HH_x38.26607_146.20358_x38.26886_146.19093.jpg"
PALSAR,46,-207.8,20071002,"20071117",381,641.00,641.00,-38.26825,146.195272,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20071002_20071117_HH_x38.26825_146.19527_x38.26886_146.19093.jpg"
PALSAR,92,-720.36,20071002,"20080102",381,641.00,641.00,-38.26825,146.195272,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20071002_20080102_HH_x38.26825_146.19527_x38.27020_146.18503.jpg"
PALSAR,46,-512.95,20071117,"20080102",381,641.00,641.00,-38.268858,146.19093,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20071117_20080102_HH_x38.26886_146.19093_x38.27020_146.18503.jpg"
PALSAR,138,-839.67,20071002,"20080217",381,641.00,641.00,-38.26825,146.195272,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20071002_20080217_HH_x38.26825_146.19527_x38.27154_146.18485.jpg"
PALSAR,92,-634.12,20071117,"20080217",381,641.00,641.00,-38.268858,146.19093,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20071117_20080217_HH_x38.26886_146.19093_x38.27154_146.18485.jpg"
PALSAR,46,-135.25,20080102,"20080217",381,641.00,641.00,-38.270196,146.185034,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20080102_20080217_HH_x38.27020_146.18503_x38.27154_146.18485.jpg"
PALSAR,92,-827.63,20080217,"20080519",381,641.00,641.00,-38.271541,146.184854,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20080217_20080519_HH_x38.27154_146.18485_x38.27173_146.18341.jpg"
PALSAR,552,696.84,20061230,"20080704",381,641.00,641.00,-38.261715,146.204297,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20061230_20080704_HH_x38.26172_146.20430_x38.26325_146.21305.jpg"
PALSAR,506,42.64,20070214,"20080704",381,641.00,641.00,-38.263598,146.212646,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20070214_20080704_HH_x38.26360_146.21265_x38.26325_146.21305.jpg"
PALSAR,138,-553.09,20080819,"20090104",381,641.00,641.00,-38.255047,146.2361,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20080819_20090104_HH_x38.25505_146.23610_x38.26496_146.23275.jpg"
PALSAR,46,87.75,20080819,"20081004",381,641.00,641.00,-38.255047,146.2361,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20080819_20081004_HH_x38.25505_146.23610_x38.25648_146.23678.jpg"
PALSAR,92,-612.63,20081004,"20090104",381,641.00,641.00,-38.256477,146.236779,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20081004_20090104_HH_x38.25648_146.23678_x38.26496_146.23275.jpg"
PALSAR,92,-124.72,20080819,"20081119",381,641.00,641.00,-38.255047,146.2361,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20080819_20081119_HH_x38.25505_146.23610_x38.25582_146.24147.jpg"
PALSAR,46,-155.48,20081004,"20081119",381,641.00,641.00,-38.256477,146.236779,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20081004_20081119_HH_x38.25648_146.23678_x38.25582_146.24147.jpg"
PALSAR,46,-459.73,20081119,"20090104",381,641.00,641.00,-38.255822,146.241471,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20081119_20090104_HH_x38.25582_146.24147_x38.26496_146.23275.jpg"
PALSAR,46,-482.91,20090104,"20090219",381,641.00,641.00,-38.264955,146.232751,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20090104_20090219_HH_x38.26496_146.23275_x38.26045_146.22290.jpg"
PALSAR,920,60.8,20061230,"20090707",381,641.00,641.00,-38.261715,146.204297,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20061230_20090707_HH_x38.26172_146.20430_x38.26094_146.20857.jpg"
PALSAR,874,-623.68,20070214,"20090707",381,641.00,641.00,-38.263598,146.212646,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20070214_20090707_HH_x38.26360_146.21265_x38.26094_146.20857.jpg"
PALSAR,736,392.24,20070702,"20090707",381,641.00,641.00,-38.266603,146.200108,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20070702_20090707_HH_x38.26660_146.20011_x38.26094_146.20857.jpg"
PALSAR,690,426.34,20070817,"20090707",381,641.00,641.00,-38.266073,146.203581,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20070817_20090707_HH_x38.26607_146.20358_x38.26094_146.20857.jpg"
PALSAR,368,-638.28,20080704,"20090707",381,641.00,641.00,-38.263247,146.213046,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20080704_20090707_HH_x38.26325_146.21305_x38.26094_146.20857.jpg"
PALSAR,966,876.46,20061230,"20090822",381,641.00,641.00,-38.261715,146.204297,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track381/1_20061230_20090822_HH_x38.26172_146.20430_x38.26297_146.21640.jpg"
