Sensor,Date,Track,Frame,Location,Heading,Polarization,Centre Lat,Centre Lon,Look Angle,RSR
PALSAR,20070324,367,652.00,"Donaldson, NSW, Australia",A,HH,-33.422592,149.532374,21.5,16
PALSAR,20070624,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.902348,151.745775,34.3,16
PALSAR,20070809,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.902806,151.747675,34.3,16
PALSAR,20080209,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.908603,151.730707,34.3,32
PALSAR,20080326,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.902677,151.739527,34.3,32
PALSAR,20080811,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.897307,151.777473,34.3,16
PALSAR,20061222,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.89893,151.756927,34.3,32
PALSAR,20070206,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.910926,151.767184,34.3,32
PALSAR,20080926,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.900925,151.779823,34.3,16
PALSAR,20081227,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.90296,151.771015,34.3,32
PALSAR,20090211,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.904073,151.768802,34.3,32
PALSAR,20090629,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.906478,151.761475,34.3,16
PALSAR,20090814,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.907,151.758035,34.3,16
PALSAR,20090929,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.907654,151.755083,34.3,16
PALSAR,20091114,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.907171,151.758682,34.3,16
PALSAR,20091230,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.909456,151.75078,34.3,32
PALSAR,20100214,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.910735,151.746913,34.3,32
PALSAR,20100817,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.913896,151.735196,34.3,16
PALSAR,20101002,367,652.00,"Donaldson, NSW, Australia",A,HH,-32.912899,151.739951,34.3,16
