Sensor,Btemp,Bperp,Mst Date,Slv Date,Track,Mst Frame,Slv Frame,Centre Lat,Centre Lon,Look Angle,Heading,Polarization,Results
PALSAR,46,-505.56,20070814,"20070929",370,649.00,649.00,-34.367429,150.648412,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20070814_20070929_HH_x34.36743_150.64841_x34.36982_150.64656.jpg"
PALSAR,46,-745.38,20071114,"20071230",370,649.00,649.00,-34.368326,150.645812,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20071114_20071230_HH_x34.36833_150.64581_x34.37264_150.63525.jpg"
PALSAR,46,548.65,20061227,"20070211",370,649.00,649.00,-34.365304,150.654713,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20061227_20070211_HH_x34.36530_150.65471_x34.36315_150.65947.jpg"
PALSAR,46,41.16,20070629,"20070814",370,649.00,649.00,-34.362912,150.648036,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20070629_20070814_HH_x34.36291_150.64804_x34.36649_150.64809.jpg"
PALSAR,46,-505.55,20070814,"20070929",370,649.00,649.00,-34.366491,150.648087,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20070814_20070929_HH_x34.36649_150.64809_x34.36982_150.64656.jpg"
PALSAR,46,-116.08,20070929,"20071114",370,649.00,649.00,-34.36918,150.646342,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20070929_20071114_HH_x34.36918_150.64634_x34.36833_150.64581.jpg"
PALSAR,46,84.73,20071230,"20080214",370,649.00,649.00,-34.371999,150.63503,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20071230_20080214_HH_x34.37200_150.63503_x34.37214_150.63433.jpg"
PALSAR,46,-644.51,20080214,"20080331",370,649.00,649.00,-34.372137,150.634328,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20080214_20080331_HH_x34.37214_150.63433_x34.37365_150.63172.jpg"
PALSAR,46,2912.66,20080516,"20080701",370,649.00,649.00,-34.36318,150.642921,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20080516_20080701_HH_x34.36318_150.64292_x34.35271_150.67394.jpg"
PALSAR,46,-79.11,20081001,"20081116",370,649.00,649.00,-34.358265,150.683424,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20081001_20081116_HH_x34.35827_150.68342_x34.35726_150.68604.jpg"
PALSAR,46,-679.92,20081116,"20090101",370,649.00,649.00,-34.357259,150.68604,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20081116_20090101_HH_x34.35726_150.68604_x34.36053_150.67594.jpg"
PALSAR,46,-303.26,20090101,"20090216",370,649.00,649.00,-34.360525,150.67594,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20090101_20090216_HH_x34.36053_150.67594_x34.36343_150.67127.jpg"
PALSAR,46,-311.36,20091004,"20091119",370,649.00,649.00,-34.37129,150.660602,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20091004_20091119_HH_x34.37129_150.66060_x34.36835_150.67319.jpg"
PALSAR,46,-521.41,20091119,"20100104",370,649.00,649.00,-34.368349,150.673189,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20091119_20100104_HH_x34.36835_150.67319_x34.37343_150.65159.jpg"
PALSAR,46,-21.16,20100522,"20100707",370,649.00,649.00,-34.375894,150.643036,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20100522_20100707_HH_x34.37589_150.64304_x34.37645_150.64130.jpg"
PALSAR,46,-98.21,20100707,"20100822",370,649.00,649.00,-34.376448,150.641296,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20100707_20100822_HH_x34.37645_150.64130_x34.37680_150.64113.jpg"
PALSAR,46,-302.48,20100822,"20101007",370,649.00,649.00,-34.376802,150.641131,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20100822_20101007_HH_x34.37680_150.64113_x34.37818_150.63555.jpg"
PALSAR,46,-578.42,20101007,"20101122",370,649.00,649.00,-34.378183,150.635549,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20101007_20101122_HH_x34.37818_150.63555_x34.37554_150.64469.jpg"
PALSAR,46,-380.79,20101122,"20110107",370,649.00,649.00,-34.375541,150.644691,34.3,A,HH,"http://129.94.56.7:8080/RESULT/PALSAR/track370/1_20101122_20110107_HH_x34.37554_150.64469_x34.38029_150.62624.jpg"
