Sensor,Date,Track,Frame,Location,Heading,Polarization,Centre Lat,Centre Lon,Look Angle,RSR
ASAR,20100208,402,4290.00,"Sydney, NSW, Australia",D,VV,-33.835634,151.096527,23,19.20768
ASAR,20100315,402,4290.00,"Sydney, NSW, Australia",D,VV,-33.836725,151.091882,23,19.20768
ASAR,20100419,402,4290.00,"Sydney, NSW, Australia",D,VV,-33.842717,151.098752,23,19.20768
ASAR,20100524,402,4290.00,"Sydney, NSW, Australia",D,VV,-33.840375,151.096812,23,19.20768
ASAR,20100628,402,4290.00,"Sydney, NSW, Australia",D,VV,-33.837907,151.095977,23,19.20768
ASAR,20100802,402,4290.00,"Sydney, NSW, Australia",D,VV,-33.839628,151.093843,23,19.20768
ASAR,20100906,402,4290.00,"Sydney, NSW, Australia",D,VV,-33.840608,151.096838,23,19.20768
ASAR,20030421,402,4284.00,"Wyong_NSW_AU",D,VV,-33.478099,151.209917,23,19.20768
ASAR,20031117,402,4284.00,"Wyong_NSW_AU",D,VV,-33.472086,151.224341,23,19.20768
ASAR,20040614,402,4284.00,"Wyong_NSW_AU",D,VV,-33.476722,151.217462,23,19.20768
ASAR,20041101,402,4284.00,"Wyong_NSW_AU",D,VV,-33.474241,151.216146,23,19.20768
ASAR,20050912,402,4284.00,"Wyong_NSW_AU",D,VV,-33.475001,151.209468,23,19.20768
ASAR,20070115,402,4284.00,"Wyong_NSW_AU",D,VV,-33.476881,151.223611,23,19.20768
ASAR,20070219,402,4284.00,"Wyong_NSW_AU",D,VV,-33.475044,151.22031,23,19.20768
ASAR,20070326,402,4284.00,"Wyong_NSW_AU",D,VV,-33.474733,151.223226,23,19.20768
ASAR,20070604,402,4284.00,"Wyong_NSW_AU",D,VV,-33.479405,151.221522,23,19.20768
ASAR,20070709,402,4284.00,"Wyong_NSW_AU",D,VV,-33.4759,151.224088,23,19.20768
ASAR,20070813,402,4284.00,"Wyong_NSW_AU",D,VV,-33.476378,151.222851,23,19.20768
ASAR,20070917,402,4284.00,"Wyong_NSW_AU",D,VV,-33.478572,151.225369,23,19.20768
ASAR,20071022,402,4284.00,"Wyong_NSW_AU",D,VV,-33.474505,151.221145,23,19.20768
ASAR,20071126,402,4284.00,"Wyong_NSW_AU",D,VV,-33.475231,151.224048,23,19.20768
ASAR,20091026,402,4287.00,"Wyong_NSW_AU",D,VV,-33.728928,151.126466,23,19.20768
ASAR,20090921,402,4288.00,"Wyong_NSW_AU",D,VV,-33.775158,151.119941,23,19.20768
ASAR,20091130,402,4288.00,"Wyong_NSW_AU",D,VV,-33.769196,151.117056,23,19.20768
