Sensor,Date,Track,Frame,Location,Heading,Polarization,Centre Lat,Centre Lon,Look Angle,RSR
PALSAR,20070113,371,649.00,"Berrima, NSW, Australia",A,HH,-34.366252,150.115154,34.3,32
PALSAR,20070228,371,649.00,"Berrima, NSW, Australia",A,HH,-34.367193,150.129474,34.3,32
PALSAR,20080302,371,649.00,"Berrima, NSW, Australia",A,HH,-34.376875,150.105656,34.3,32
PALSAR,20080417,371,649.00,"Berrima, NSW, Australia",A,HH,-34.367296,150.094944,34.3,32
PALSAR,20080902,371,649.00,"Berrima, NSW, Australia",A,HH,-34.360833,150.15066,34.3,16
PALSAR,20080902,371,649.00,"Berrima, NSW, Australia",A,HV,-34.360833,150.15066,34.3,16
PALSAR,20070716,371,649.00,"Berrima, NSW, Australia",A,HH,-34.362075,150.120488,34.3,16
PALSAR,20070716,371,649.00,"Berrima, NSW, Australia",A,HV,-34.362075,150.120488,34.3,16
PALSAR,20070831,371,649.00,"Berrima, NSW, Australia",A,HH,-34.363184,150.122044,34.3,16
PALSAR,20070831,371,649.00,"Berrima, NSW, Australia",A,HV,-34.363184,150.122044,34.3,16
PALSAR,20071016,371,649.00,"Berrima, NSW, Australia",A,HH,-34.367378,150.115117,34.3,16
PALSAR,20071016,371,649.00,"Berrima, NSW, Australia",A,HV,-34.367378,150.115117,34.3,16
PALSAR,20080602,371,649.00,"Berrima, NSW, Australia",A,HH,-34.369011,150.098167,34.3,16
PALSAR,20080602,371,649.00,"Berrima, NSW, Australia",A,HV,-34.369011,150.098167,34.3,16
PALSAR,20090721,371,649.00,"Berrima, NSW, Australia",A,HH,-34.367833,150.134497,34.3,16
PALSAR,20090721,371,649.00,"Berrima, NSW, Australia",A,HV,-34.367833,150.134497,34.3,16
PALSAR,20090905,371,649.00,"Berrima, NSW, Australia",A,HH,-34.369467,150.131761,34.3,16
PALSAR,20090905,371,649.00,"Berrima, NSW, Australia",A,HV,-34.369467,150.131761,34.3,16
PALSAR,20091021,371,649.00,"Berrima, NSW, Australia",A,HH,-34.369678,150.129764,34.3,16
PALSAR,20091021,371,649.00,"Berrima, NSW, Australia",A,HV,-34.369678,150.129764,34.3,16
PALSAR,20100121,371,649.00,"Berrima, NSW, Australia",A,HH,-34.372178,150.119927,34.3,32
PALSAR,20100308,371,649.00,"Berrima, NSW, Australia",A,HH,-34.37396,150.115783,34.3,32
PALSAR,20101024,371,649.00,"Berrima, NSW, Australia",A,HH,-34.376774,150.104279,34.3,16
PALSAR,20101024,371,649.00,"Berrima, NSW, Australia",A,HV,-34.376774,150.104279,34.3,16
PALSAR,20101209,371,649.00,"Berrima, NSW, Australia",A,HH,-34.378969,150.094605,34.3,16
PALSAR,20101209,371,649.00,"Berrima, NSW, Australia",A,HV,-34.378969,150.094605,34.3,16
PALSAR,20110124,371,649.00,"Berrima, NSW, Australia",A,HH,-34.379878,150.092092,34.3,32
PALSAR,20110311,371,649.00,"Berrima, NSW, Australia",A,HH,-34.381394,150.089706,34.3,32
