Sensor,Date,Track,Frame,Location,Heading,Polarization,Centre Lat,Centre Lon,Look Angle,RSR
PALSAR,20080606,493,69.00,"UNKNOWN",A,HV,34.931818,93.120303,34.3,16
PALSAR,20080722,493,69.00,"UNKNOWN",A,HH,34.929929,93.082229,34.3,16
PALSAR,20080722,493,69.00,"UNKNOWN",A,HV,34.929929,93.082229,34.3,16
PALSAR,20080906,493,69.00,"UNKNOWN",A,HH,34.932914,93.059362,34.3,16
PALSAR,20081123,365,650.00,"UNKNOWN",A,HH,-34.380962,150.967214,21.5,32
PALSAR,20081116,370,651.00,"UNKNOWN",A,HH,-33.386572,150.336024,34.3,32
PALSAR,20081103,4,433.00,"UNKNOWN",D,HH,-34.427286,150.31871,41.5,32
PALSAR,20080918,4,432.00,"UNKNOWN",D,HH,-33.948104,150.519377,41.5,32
PALSAR,20081103,4,432.00,"UNKNOWN",D,HH,-33.946911,150.523372,41.5,32
PALSAR,20080808,7,432.00,"UNKNOWN",D,HH,-34.341754,150.568788,34.3,32
PALSAR,20070203,402,77.00,"UNKNOWN",A,HH,38.882834,141.038357,34.3,32
PALSAR,20070203,402,78.00,"UNKNOWN",A,HH,39.377888,140.933491,34.3,32
PALSAR,20070621,402,77.00,"UNKNOWN",A,HH,38.885621,141.046835,34.3,16
PALSAR,20070621,402,77.00,"UNKNOWN",A,HV,38.885621,141.046835,34.3,16
PALSAR,20070621,402,78.00,"UNKNOWN",A,HH,39.381542,140.933478,34.3,16
PALSAR,20070621,402,78.00,"UNKNOWN",A,HV,39.381542,140.933478,34.3,16
PALSAR,20070806,402,77.00,"UNKNOWN",A,HH,38.884856,141.050088,34.3,16
PALSAR,20070806,402,77.00,"UNKNOWN",A,HV,38.884856,141.050088,34.3,16
PALSAR,20070806,402,78.00,"UNKNOWN",A,HH,39.379985,140.936982,34.3,16
PALSAR,20070806,402,78.00,"UNKNOWN",A,HV,39.379985,140.936982,34.3,16
PALSAR,20071222,402,77.00,"UNKNOWN",A,HH,38.883635,141.059004,34.3,32
PALSAR,20071222,402,78.00,"UNKNOWN",A,HH,39.377633,140.946351,34.3,32
PALSAR,20080323,402,77.00,"UNKNOWN",A,HH,38.886515,141.069227,34.3,32
PALSAR,20080323,402,78.00,"UNKNOWN",A,HH,39.381814,140.956512,34.3,32
PALSAR,20080623,402,77.00,"UNKNOWN",A,HH,38.882508,141.043725,34.3,32
PALSAR,20080623,402,78.00,"UNKNOWN",A,HH,39.377699,140.9305,34.3,32
PALSAR,20080808,402,77.00,"UNKNOWN",A,HH,38.87297,141.004886,34.3,32
PALSAR,20080808,402,78.00,"UNKNOWN",A,HH,39.366974,140.891295,34.3,32
PALSAR,20080923,402,77.00,"UNKNOWN",A,HH,38.883597,141.011804,34.3,16
PALSAR,20080923,402,77.00,"UNKNOWN",A,HV,38.883597,141.011804,34.3,16
PALSAR,20080923,402,78.00,"UNKNOWN",A,HH,39.378484,140.898022,34.3,16
PALSAR,20080923,402,78.00,"UNKNOWN",A,HV,39.378484,140.898022,34.3,16
PALSAR,20070105,403,77.00,"UNKNOWN",A,HH,38.885253,140.482675,34.3,32
PALSAR,20070105,403,78.00,"UNKNOWN",A,HH,39.378745,140.369657,34.3,32
PALSAR,20070823,403,77.00,"UNKNOWN",A,HH,38.885709,140.515866,34.3,16
PALSAR,20070823,403,77.00,"UNKNOWN",A,HV,38.885709,140.515866,34.3,16
